id,name,party,sector,country
500,Folge 500,NA,NA,NA
lk,Lars Klingbeil,SPD,Politik,Deutschland
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cz,Constanze Stelzenmüller,NA,Jura,Deutschland
501,Folge 501,NA,NA,NA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egils Levits,NA,Politik,Lettland
502,Folge 502,NA,NA,NA
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,Partei der Arbeit,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Ukraine
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Bundeswehr,Deutschland
503,Folge 503,NA,NA,NA
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Autor,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
